1;340;-503
2;337;-266
3;334;-175
4;335;-79
5;331;159
6;334;205
7;396;223
8;388;292
9;374;405
10;281;419
11;376;478
12;337;480
13;244;298
14;421;-106
15;416;-248
16;242;-176
17;247;-270
18;403;31
19;334;37
20;377;-36
21;336;-37
22;339;-366
23;264;-360
24;441;-458
25;230;241
26;319;355
-1;-307;-413
-2;-325;-517
-3;-355;285
-4;-376;352
-5;-381;430
-6;-328;470
-7;-287;461
-8;-284;400
-9;-362;227
-10;-279;165
-11;-343;194
-12;-377;163
-13;-383;45
-14;-388;-34
-15;-313;11
-16;-301;-52
-17;-366;-101
-18;-385;-204
-19;-312;-199
-20;-303;-280
-21;-391;-285
-22;-395;-356
-23;-306;-373
-24;-259;-334
-25;-262;-155
-26;-276;-190
-27;-353;-246
-28;-309;-326
-29;-399;-484
-30;-364;-23
-31;-389;298
-32;-356;333
-33;-393;398
-34;-334;440
-35;-299;143
