100;1
1;501
100;512
1;2
2;3
3;4
4;5
5;6
6;7
7;8
8;9
9;10
10;12
12;11
11;9
12;504;
11;505
10;502
10;503
13;8
8;506
7;507
5;514
5;508
4;509
3;16
16;509
16;17
17;2
17;510
2;15
15;511
15;14
14;513
14;4
13;10
19;18
18;513
513;20
20;21
13;10
512;511
100;24
22;23
23;17
10;26
26;8
6;25
25;13
200;-1
201;-1
203;-1
203;202
-1;-2
-2;600
-2;601
-2;602;
-1;600
-1;601
202;602
202;601
-22;-23
-23;-28
-21;-22
-21;-28
-20;-28
-20;-21
-20;-24
-24;203
-20;-27
-21;-27
-18;-27
-18;-19
-19;-27
-19;-26
-25;-26
-26;-27
-18;204
204;-19
-17;-18
-14;-17
205;-17
-16;-17
-16;-25
206;-25
-16;207
-15;-16
-14;-15
-15;218
-14;-13
221;-13
-12;-13
208;-12
-9;-12
-9;-11
-11;-12
-10;-11
220;-10
209;-10
213;-10
-3;-9
-3;-4
217;-3
-4;-5
216;-5
-6;-5
-7;-6
-7;-8
215;-7
215;-8
214;-8
214;-7
-22;-1
-23;-1
200;-2
-19;-20
-19;-24
-13;-30
-33;-4
-5;-33
-5;-34
-34;-6
-10;-35
-11;-35
201;-29
-29;-2
-29;600
-29;601
-3;-11
-3;-31
-31;217
-3;-32
-32;-4
-4;-31
216;-33
207;-30
206;-16
220;-35
205;-27
