1;90
0;90
1;2
2;3
1;3
3;4
4;5
4;13
4;12
12;14
14;15
15;16
16;17
17;5
0;91
6;91
6;7
7;8
6;8
8;9
9;10
10;24
10;23
10;11
11;18
11;19
19;20
20;21
21;22
22;23
23;10
101;190
190;102
102;103
103;104
104;105
105;157
105;158
158;159
159;160
160;161
161;162
162;106
106;163
105;106
102;104
101;191
191;107
107;108
108;109
107;109
109;110
156;110
110;111
111;150
111;151
151;152
152;153
153;154
154;155
155;110
200;291
291;201
201;202
202;203
201;203
203;204
200;290
290;206
206;207
207;208
206;208
208;209
209;210
204;205
209;250
209;251
251;252
252;253
253;254
254;255
255;210
210;256
204;257
204;258
258;259
259;260
260;261
261;262
262;205
300;391
391;301
301;302
302;303
301;303
303;311
303;304
304;311
311;305
300;390
390;306
306;307
307;308
306;308
308;309
309;310
309;350
309;351
351;352
352;353
353;354
354;355
355;310
310;356
305;357
305;358
358;359
359;360
360;361
361;362
362;304
5;25
205;263
304;363
