0;-135;131
1;-262;134
2;-275;118
3;-317;133
4;-386;133
5;-386;209
6;-135;243
7;-115;274
8;-135;320
9;-134;368
10;-119;386
11;-193;389
101;435;133
102;316;133
103;301;123
104;253;135
105;183;132
106;183;202
107;434;250
108;453;275
109;436;332
110;443;386
111;374;389
200;-134;-441
201;-135;-328
202;-118;-296
203;-135;-248
204;-127;-184
205;-192;-183
206;-253;-438
207;-273;-457
208;-309;-435
209;-385;-437
210;-385;-374
300;436;-438
301;433;-329
302;451;-293
303;434;-230
304;456;-188
305;367;-182
306;317;-436
307;297;-450
308;252;-435
309;184;-439
310;184;-374
311;440;-183
