21;91;21,22,23,10,9,8,6,91;21,22,23,10,9,8,6,91;21,20,19,11,10,9,8,6,91;21,22,23,10,9,8,7,6,91;21,22,23,10,9,8,7,6,91;21,20,19,11,10,9,8,7,6,91
91;22;91,6,8,9,10,23,22;91,6,8,9,10,23,22;91,6,7,8,9,10,23,22;91,6,7,8,9,10,23,22
22;91;22,23,10,9,8,6,91;22,23,10,9,8,6,91;22,23,10,9,8,7,6,91;22,23,10,9,8,7,6,91
91;23;91,6,8,9,10,23;91,6,8,9,10,23;91,6,7,8,9,10,23;91,6,7,8,9,10,23
23;91;23,10,9,8,6,91;23,10,9,8,6,91;23,10,9,8,7,6,91;23,10,9,8,7,6,91
91;24;91,6,8,9,10,24;91,6,7,8,9,10,24
24;91;24,10,9,8,6,91;24,10,9,8,7,6,91
91;25;91,0,90,1,3,4,5,25;91,0,90,1,2,3,4,5,25
25;91;25,5,4,3,1,90,0,91;25,5,4,3,2,1,90,0,91
190;150;190,101,191,107,109,110,111,150;190,101,191,107,108,109,110,111,150
150;190;150,111,110,109,107,191,101,190;150,111,110,109,108,107,191,101,190
190;151;190,101,191,107,109,110,111,151;190,101,191,107,108,109,110,111,151
151;190;151,111,110,109,107,191,101,190;151,111,110,109,108,107,191,101,190
190;152;190,101,191,107,109,110,111,151,152;190,101,191,107,108,109,110,111,151,152;190,101,191,107,109,110,155,154,153,152;190,101,191,107,108,109,110,155,154,153,152
152;190;152,151,111,110,109,107,191,101,190;152,151,111,110,109,108,107,191,101,190;152,153,154,155,110,109,107,191,101,190;152,153,154,155,110,109,108,107,191,101,190
190;153;190,101,191,107,109,110,155,154,153;190,101,191,107,108,109,110,155,154,153;190,101,191,107,109,110,111,151,152,153;190,101,191,107,108,109,110,111,151,152,153
153;190;153,154,155,110,109,107,191,101,190;153,152,151,111,110,109,107,191,101,190;153,154,155,110,109,108,107,191,101,190;153,152,151,111,110,109,108,107,191,101,190
190;154;190,101,191,107,109,110,155,154;190,101,191,107,108,109,110,155,154
154;190;154,155,110,109,107,191,101,190;154,155,110,109,108,107,191,101,190
190;155;190,101,191,107,109,110,155;190,101,191,107,108,109,110,155
155;190;155,110,109,107,191,101,190;155,110,109,108,107,191,101,190
190;156;190,101,191,107,109,110,156;190,101,191,107,108,109,110,156
156;190;156,110,109,107,191,101,190;156,110,109,108,107,191,101,190
190;157;190,102,104,105,157;190,102,103,104,105,157
157;190;157,105,104,102,190;157,105,104,103,102,190
190;158;190,102,104,105,158;190,102,103,104,105,158
158;190;158,105,104,102,190;158,105,104,103,102,190
190;159;190,102,104,105,158,159;190,102,103,104,105,158,159
159;190;159,158,105,104,102,190;159,158,105,104,103,102,190
190;160;190,102,104,105,158,159,160;190,102,103,104,105,158,159,160;190,102,104,105,106,162,161,160;190,102,103,104,105,106,162,161,160
160;190;160,159,158,105,104,102,190;160,159,158,105,104,103,102,190;160,161,162,106,105,104,102,190;160,161,162,106,105,104,103,102,190
190;161;190,102,104,105,106,162,161;190,102,103,104,105,106,162,161;190,102,104,105,158,159,160,161;190,102,103,104,105,158,159,160,161
161;190;161,162,106,105,104,102,190;161,160,159,158,105,104,102,190;161,162,106,105,104,103,102,190;161,160,159,158,105,104,103,102,190
190;162;190,102,104,105,106,162;190,102,103,104,105,106,162
