12;-403;105;true
13;-369;115;true
14;-445;104;true
15;-471;138;true
16;-465;180;true
17;-435;209;true
18;-216;386;true
19;-209;435;true
20;-179;467;true
21;-134;469;true
22;-106;444;true
23;-98;406;true
24;-114;370;true
25;-383;221;true
150;355;383;true
151;363;437;true
152;391;466;true
153;435;470;true
154;463;444;true
155;468;406;true
156;454;369;true
157;203;116;true
158;166;99;true
159;126;109;true
160;100;137;true
161;106;177;true
162;134;211;true
163;188;217;true
90;-212;136;false
91;-134;212;false
190;356;129;false
191;434;214;false
290;-214;-442;false
291;-135;-361;false
390;354;-435;false
391;434;-356;false
250;-369;-455;true
251;-401;-473;true
252;-447;-464;true
253;-469;-434;true
254;-467;-391;true
255;-433;-365;true
256;-385;-351;true
257;-114;-200;true
258;-97;-166;true
259;-107;-125;true
260;-138;-95;true
261;-182;-102;true
262;-208;-134;true
263;-219;-186;true
350;203;-454;true
351;166;-470;true
352;126;-463;true
353;103;-432;true
354;103;-388;true
355;135;-364;true
356;187;-350;true
357;354;-185;true
358;363;-134;true
359;392;-105;true
360;433;-99;true
361;464;-125;true
362;471;-167;true
363;457;-203;true
