100;-612;-3;false
101;-612;21;false
102;-611;51;false
103;539;263;true
104;649;252;true
105;454;262;true
106;336;270;true
107;217;276;true
108;126;281;true
109;114;210;true
110;246;200;true
111;383;192;true
112;471;187;true
113;22;275;true
114;-248;46;true
115;-387;56;true
116;-507;62;true
117;-621;68;true
118;-640;-40;true
119;-525;-47;true
120;-408;-55;true
121;-160;-102;true
122;-108;-189;true
123;-56;-269;true
124;5;-295;true
125;108;-305;true
126;216;-310;true
127;311;-315;true
128;414;-323;true
129;514;-328;true
130;529;-271;true
131;426;-267;true
132;325;-259;true
133;222;-255;true
134;616;-278;true
