100;101
101;102
102;1
101;0
100;7
101;7
100;6
6;7
6;5
7;4
4;5
4;3
3;2
0;3
1;2
2;3
0;2
7;5
2;12
3;12
2;13
14;17
12;11
13;11
4;8
5;9
8;9
8;10
11;10
10;15
11;14
14;15
17;19
17;20
19;21
20;21
35;103
20;22
21;22
21;23
22;23
23;27
23;24
24;22
24;31
24;27
31;35
27;30
30;34
31;30
34;35
35;36
16;38
16;39
38;39
38;40
40;41
41;42
39;40
40;42
39;41
42;44
42;43
43;44
47;48
47;50
48;49
44;47
43;48
49;50
49;52
50;51
51;52
41;43
48;50
50;52
102;117
1;116
100;118
6;119
5;120
2;115
13;114
38;121
40;122
42;123
43;124
43;125
126;48
127;48
128;49
52;129
47;132
47;133
51;130
51;134
23;113
27;109
24;108
31;107
106;31
105;35
35;103
36;104
110;30
111;30
34;112
15;16
131;50
