0;-520;23
1;-518;54
2;-395;45
3;-394;17
4;-396;-9
5;-396;-36
6;-573;-34
7;-578;-6
8;-299;-16
9;-317;-39
10;-203;-21
11;-207;8
12;-310;14
13;-274;33
14;-165;-4
15;-168;-20
16;-142;-41
17;-107;74
19;-111;108
20;-66;113
21;-65;163
22;-6;178
23;-9;240
24;48;271
27;90;225
30;301;215
31;305;257
34;530;199
35;524;239
36;619;237
38;-156;-90
39;-105;-106
40;-102;-171
41;-48;-206
42;-43;-270
43;13;-287
44;20;-253
47;295;-270
48;297;-300
49;441;-309
50;445;-280
51;575;-285
52;572;-319
